ID;Organisation;Sector;Subsector;Service;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type
60;ICRC;Health;Transport;Ambulance Transport;1035;103502;Balut;Finished;1;individual
63;ICRC;Health;RFL;Tracing;1035;103502;Balut;Finished;1;individual
66;ICRC;Health;RFL;Tracing;1035;103502;Balut;Finished;1;individual
71;ICRC;Health;PSS;Welfare Desk;1035;103502;Balut;Finished;1;station
142;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individual
159;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individual
188;ICRC;Health;PSS;Welfare Desk;1035;103502;East Poblacion;Finished;1;station
202;ICRC;Health;RFL;Tracing;1035;103502;East Poblacion;Finished;1;individual
204;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individual
206;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individual
207;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individual
218;ICRC;Health;PSS;Psychosocial Support;1035;103502;East Poblacion;Finished;1;individual
261;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individual
288;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
299;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individuals
327;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individual
332;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
349;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
350;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individual
353;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
354;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individual
369;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
370;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individuals
374;ICRC;Health;Referral;Welfare Referral;1035;103502;East Poblacion;Finished;1;individuals
384;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
385;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individuals
395;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
396;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individuals
402;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
403;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individuals
413;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
414;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individuals
416;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
417;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individuals
432;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individuals
438;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
439;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individuals
456;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
457;ICRC;Health;Referral;health referral;1035;103502;East Poblacion;Finished;1;individuals
459;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individual
460;ICRC;Health;Referral;Health Referral;1035;103502;East Poblacion;Finished;1;individual
471;ICRC;Health;Transport;Ambulance Transport;1035;103502;East Poblacion;Finished;1;individuals
476;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;1;individuals
495;ICRC;Health;Health;First Aid;1035;103502;West Poblacion;Finished;1;individual
503;ICRC;Health;Health;First Aid Station;1035;103502;West Poblacion;Finished;1;station
523;ICRC;Health;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;1;individual
528;ICRC;Health;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;1;individual
545;ICRC;Health;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;1;individual
552;ICRC;Health;Transport;Ambulance Transport;1035;103502;West Poblacion;Finished;1;individual
577;ICRC;Health;PSS;Welfare Desk;1035;103502;West Poblacion;Finished;1;station
581;ICRC;Health;Health;First Aid Station;1035;103502;West Poblacion;Finished;1;station
631;ICRC;Health;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;1;individual
670;ICRC;Health;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;1;individual
854;ICRC;Health;Referral;Welfare Referral;1035;103502;Landa Madrasah;Finished;1;individuals
886;ICRC;Health;RFL;Tracing;1035;103502;Landa Madrasah;Finished;1;individuals
946;ICRC;Health;Health;First Aid Station;1035;103502;West Poblacion;Finished;1;station
952;ICRC;Health;RFL;Tracing;1035;103502;West Poblacion;Finished;1;individual
964;ICRC;Health;RFL;Tracing;1035;103502;West Poblacion;Finished;1;individual
966;ICRC;Health;RFL;I am Alive Call;1035;103502;West Poblacion;Finished;1;individual
988;ICRC;Health;PSS;Welfare Desk;1035;103502;West Poblacion;Finished;1;station
